1,Acura,Integra,16.919,21.5,1.8,140,13.2,28
2,Acura,TL,39.384,28.4,3.2,225,17.2,25
3,Acura,CL,14.114,25,3.2,225,17.2,26
4,Acura,RL,8.588,42,3.5,210,18,22
5,Audi,A4,20.397,23.99,1.8,150,16.4,27
6,Audi,A6,18.78,33.95,2.8,200,18.5,22
7,Audi,A8,1.38,62,4.2,310,23.7,21
8,BMW,323i,19.747,26.99,2.5,170,16.6,26
9,BMW,328i,9.231,33.4,2.8,193,16.6,24
10,BMW,528i,17.527,38.9,2.8,193,18.5,25
11,Buick,Century,91.561,21.975,3.1,175,17.5,25
12,Buick,Regal,39.35,25.3,3.8,240,17.5,23
13,Buick,Park Avenue,27.851,31.965,3.8,205,18.5,24
14,Buick,LeSabre,83.257,27.885,3.8,205,17.5,25
15,Cadillac,DeVille,63.729,39.895,4.6,275,18.5,22
16,Cadillac,Seville,15.943,44.475,4.6,275,18.5,22
17,Cadillac,Eldorado,6.536,39.665,4.6,275,19,22
18,Cadillac,Catera,11.185,31.01,3,200,18,22
19,Cadillac,Escalade,14.785,46.225,5.7,255,30,15
20,Chevrolet,Cavalier,145.519,13.26,2.2,115,14.3,27
21,Chevrolet,Malibu,135.126,16.535,3.1,170,15,25
22,Chevrolet,Lumina,24.629,18.89,3.1,175,16.6,25
23,Chevrolet,Monte Carlo,42.593,19.39,3.4,180,17,27
24,Chevrolet,Camaro,26.402,24.34,3.8,200,16.8,25
25,Chevrolet,Corvette,17.947,45.705,5.7,345,19.1,22
26,Chevrolet,Prizm,32.299,13.96,1.8,120,13.2,33
27,Chevrolet,Metro,21.855,9.235,1,55,10.3,45
28,Chevrolet,Impala,107.995,18.89,3.4,180,17,27
29,Chrysler,Sebring Coupe,7.854,19.84,2.5,163,15.9,24
30,Chrysler,Sebring Conv.,32.775,24.495,2.5,168,16,24
31,Chrysler,Concorde,31.148,22.245,2.7,200,17,26
32,Chrysler,Cirrus,32.306,16.48,2,132,16,27
33,Chrysler,LHS,13.462,28.34,3.5,253,17,23
34,Chrysler,300M,30.696,29.185,3.5,253,17,23
35,Dodge,Neon,76.034,12.64,2,132,12.5,29
36,Dodge,Avenger,4.734,19.045,2.5,163,15.9,24
37,Dodge,Stratus,71.186,20.23,2.5,168,16,24
38,Dodge,Intrepid,88.028,22.505,2.7,202,17,26
39,Dodge,Viper,0.916,69.725,8,450,19,16
40,Dodge,Ram Pickup,227.061,19.46,5.2,230,26,17
41,Dodge,Ram Wagon,16.767,21.315,3.9,175,32,15
42,Dodge,Ram Van,31.038,18.575,3.9,175,32,16
43,Dodge,Dakota,111.313,16.98,2.5,120,22,19
44,Dodge,Durango,101.323,26.31,5.2,230,25,17
45,Dodge,Caravan,181.749,19.565,2.4,150,20,24
46,Ford,Escort,70.227,12.07,2,110,12.7,30
47,Ford,Mustang,113.369,21.56,3.8,190,15.7,24
48,Ford,Contour,35.068,17.035,2.5,170,15,25
49,Ford,Taurus,245.815,17.885,3,155,16,24
50,Ford,Focus,175.67,12.315,2,107,13.2,30
51,Ford,Crown Victoria,63.403,22.195,4.6,200,19,21
52,Ford,Explorer,276.747,31.93,4,210,21,19
53,Ford,Windstar,155.787,21.41,3,150,26,21
54,Ford,Expedition,125.338,36.135,4.6,240,26,16
55,Ford,Ranger,220.65,12.05,2.5,119,20,23
56,Ford,F-Series,540.561,26.935,4.6,220,25.1,18
57,Honda,Civic,199.685,12.885,1.6,106,11.9,32
58,Honda,Accord,230.902,15.35,2.3,135,17.1,27
59,Honda,CR-V,73.203,20.55,2,146,15.3,24
60,Honda,Passport,12.855,26.6,3.2,205,21.1,19
61,Honda,Odyssey,76.029,26,3.5,210,20,23
62,Hyundai,Accent,41.184,9.699,1.5,92,11.9,31
63,Hyundai,Elantra,66.692,11.799,2,140,14.5,27
64,Hyundai,Sonata,29.45,14.999,2.4,148,17.2,25
65,Infiniti,I30,23.713,29.465,3,227,18.5,25
66,Jaguar,S-Type,15.467,42.8,3,240,18.4,21
67,Jeep,Wrangler,55.557,14.46,2.5,120,19,17
68,Jeep,Cherokee,80.556,21.62,4,190,20,20
69,Jeep,Grand Cherokee,157.04,26.895,4,195,20.5,19
70,Lexus,ES300,24.072,31.505,3,210,18.5,23
71,Lexus,GS300,12.698,37.805,3,225,19.8,23
72,Lexus,GS400,3.334,46.305,4,300,19.8,21
73,Lexus,LS400,6.375,54.005,4,290,22.5,22
74,Lexus,LX470,9.126,60.105,4.7,230,25.4,15
75,Lexus,RX300,51.238,34.605,3,220,17.2,21
76,Lincoln,Continental,13.798,39.08,4.6,275,20,22
77,Lincoln,Town car,48.911,43.33,4.6,215,19,21
78,Lincoln,Navigator,22.925,42.66,5.4,300,30,15
79,Mitsubishi,Mirage,26.232,13.987,1.8,113,13.2,30
80,Mitsubishi,Eclipse,42.541,19.047,2.4,154,15.9,24
81,Mitsubishi,Galant,55.616,17.357,2.4,145,16.3,25
82,Mitsubishi,Diamante,5.711,24.997,3.5,210,19,22
83,Mitsubishi,3000GT,0.11,25.45,3,161,19.8,21
84,Mitsubishi,Montero,11.337,31.807,3.5,200,24.3,18
85,Mitsubishi,Montero Sport,39.348,22.527,3,173,19.5,20
86,Mercury,Mystique,14.351,16.24,2,125,15,28
